"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2025","554.02","550.53","554.88","550.25","","0.73%"
"05/19/2025","549.98","547.89","549.99","545.16","","0.13%"
"05/16/2025","549.26","547.89","550.86","546.83","","0.42%"
"05/15/2025","546.95","542.13","546.95","540.98","","0.56%"
"05/14/2025","543.88","545.10","545.79","542.35","","-0.24%"
"05/13/2025","545.17","544.42","546.13","544.40","","0.12%"
"05/12/2025","544.49","538.34","544.50","538.34","","1.21%"
"05/09/2025","537.96","535.95","538.89","535.95","","0.44%"
"05/08/2025","535.63","533.88","538.63","533.88","","0.40%"
"05/07/2025","533.47","535.36","535.47","532.56","","-0.54%"
"05/06/2025","536.35","537.35","538.57","532.02","","-0.18%"
"05/05/2025","537.31","536.04","537.69","535.84","","0.16%"
"05/02/2025","536.43","530.51","536.99","530.51","","1.70%"
"04/30/2025","527.48","525.61","527.83","521.92","","0.46%"
"04/29/2025","525.09","523.45","525.47","522.92","","0.36%"
"04/28/2025","523.19","521.61","524.57","521.61","","0.53%"
"04/25/2025","520.45","519.42","521.97","518.41","","0.35%"
"04/24/2025","518.61","515.54","518.96","512.79","","0.36%"
"04/23/2025","516.77","509.83","519.56","509.83","","1.78%"
"04/22/2025","507.71","504.97","507.71","502.29","","0.25%"
"04/17/2025","506.42","506.49","507.13","503.50","","-0.13%"
"04/16/2025","507.09","506.32","507.16","501.16","","-0.19%"
"04/15/2025","508.06","500.90","508.46","500.90","","1.63%"
"04/14/2025","499.89","491.12","501.76","491.12","","2.69%"
"04/11/2025","486.80","488.42","491.08","479.55","","-0.10%"
"04/10/2025","487.28","472.50","504.11","472.50","","3.70%"
"04/09/2025","469.89","480.70","480.70","464.31","","-3.50%"
"04/08/2025","486.91","477.21","492.11","477.04","","2.72%"
"04/07/2025","474.01","493.29","495.09","464.26","","-4.50%"
"04/04/2025","496.33","519.85","519.85","492.23","","-5.12%"
"04/03/2025","523.12","532.77","532.77","521.64","","-2.57%"
"04/02/2025","536.92","538.50","538.50","533.10","","-0.50%"
"04/01/2025","539.64","536.18","540.83","536.04","","1.07%"
"03/31/2025","533.92","540.23","540.23","531.85","","-1.51%"
"03/28/2025","542.10","545.41","546.47","540.44","","-0.77%"
"03/27/2025","546.31","546.50","547.14","542.71","","-0.44%"
"03/26/2025","548.73","552.76","553.59","548.41","","-0.70%"
"03/25/2025","552.59","549.83","555.06","549.83","237.23M","0.67%"
"03/24/2025","548.93","551.13","553.01","547.66","","-0.13%"
"03/21/2025","549.67","551.35","551.46","547.39","430.35M","-0.60%"
"03/20/2025","552.98","555.45","556.47","549.87","","-0.43%"
"03/19/2025","555.37","554.30","556.13","552.38","","0.19%"
"03/18/2025","554.30","551.69","555.82","551.69","","0.61%"
"03/17/2025","550.94","547.27","551.41","546.92","","0.79%"
"03/14/2025","546.60","541.13","547.23","539.88","","1.14%"
"03/13/2025","540.44","541.39","544.58","539.30","","-0.15%"
"03/12/2025","541.25","538.55","544.69","537.92","","0.81%"
"03/11/2025","536.89","545.70","546.80","535.92","","-1.70%"
"03/10/2025","546.20","554.66","555.96","545.54","","-1.29%"
"03/07/2025","553.34","552.84","555.16","550.72","","-0.46%"
"03/06/2025","555.90","557.04","558.43","551.09","269.85M","-0.03%"
"03/05/2025","556.09","551.51","560.76","551.51","285.19M","0.91%"
"03/04/2025","551.07","561.03","561.03","550.60","275.37M","-2.14%"
"03/03/2025","563.13","557.70","565.18","556.25","255.10M","1.07%"
"02/28/2025","557.19","555.25","557.19","552.20","412.11M","0.01%"
"02/27/2025","557.11","558.41","558.41","554.24","250.72M","-0.46%"
"02/26/2025","559.67","555.15","560.56","555.15","239.40M","0.99%"
"02/25/2025","554.20","552.43","557.04","551.98","223.51M","0.15%"
"02/24/2025","553.39","553.95","555.35","550.57","215.16M","-0.08%"
"02/21/2025","553.85","551.66","554.60","551.66","216.41M","0.52%"
"02/20/2025","551.01","551.59","553.99","550.30","241.31M","-0.20%"
"02/19/2025","552.10","557.00","557.61","551.10","228.87M","-0.91%"
"02/18/2025","557.17","556.57","557.96","554.76","191.19M","0.32%"
"02/17/2025","555.42","552.80","555.69","552.67","193.01M","0.54%"
"02/14/2025","552.41","553.60","554.61","551.56","303.27M","-0.24%"
"02/13/2025","553.75","549.07","553.75","548.84","282.93M","1.09%"
"02/12/2025","547.78","547.41","548.59","545.06","238.84M","0.11%"
"02/11/2025","547.18","545.39","547.54","545.10","224.93M","0.23%"
"02/10/2025","545.92","543.31","546.50","543.31","228.62M","0.58%"
"02/07/2025","542.75","544.38","545.59","542.10","297.91M","-0.38%"
"02/06/2025","544.84","539.79","545.46","539.79","225.82M","1.17%"
"02/05/2025","538.56","535.79","538.56","535.01","191.76M","0.47%"
"02/04/2025","536.04","535.33","536.30","531.38","222.70M","0.22%"
"02/03/2025","534.85","535.78","535.78","530.69","196.43M","-0.87%"
"01/31/2025","539.53","539.79","542.09","538.84","218.34M","0.13%"
"01/30/2025","538.84","535.18","539.08","535.18","182.88M","0.86%"
"01/29/2025","534.26","532.30","535.57","532.13","185.16M","0.50%"
"01/28/2025","531.60","530.66","533.76","530.42","225.89M","0.36%"
"01/27/2025","529.69","529.61","530.62","525.52","180.86M","-0.07%"
"01/24/2025","530.07","531.44","533.25","529.15","190.56M","-0.05%"
"01/23/2025","530.34","528.62","530.50","526.99","213.01M","0.44%"
"01/22/2025","528.04","526.95","530.55","526.95","217.86M","0.39%"
"01/21/2025","525.98","524.17","526.03","523.44","178.04M","0.40%"
"01/20/2025","523.87","523.60","525.56","522.60","190.60M","0.05%"
"01/17/2025","523.62","520.89","524.48","520.89","224.73M","0.69%"
"01/16/2025","520.05","516.73","520.05","516.73","192.33M","0.98%"
"01/15/2025","515.02","508.75","515.81","508.75","233.52M","1.33%"
"01/14/2025","508.28","509.96","511.94","507.99","214.10M","-0.08%"
"01/13/2025","508.68","510.29","510.29","506.49","178.83M","-0.55%"
"01/10/2025","511.50","515.65","516.02","511.21","202.78M","-0.84%"
"01/09/2025","515.84","512.34","516.23","511.27","176.35M","0.42%"
"01/08/2025","513.67","514.96","517.20","510.97","215.93M","-0.19%"
"01/07/2025","514.67","513.08","515.66","511.01","193.61M","0.32%"
"01/06/2025","513.02","508.80","513.08","508.42","178.45M","0.95%"
"01/03/2025","508.19","510.87","510.87","507.26","154.96M","-0.49%"
"01/02/2025","510.67","507.61","510.75","505.88","129.06M","0.60%"
"12/31/2024","507.62","504.79","507.73","504.30","74.71M","0.55%"
"12/30/2024","504.85","506.31","506.88","503.55","96.52M","-0.46%"
"12/27/2024","507.18","503.31","507.18","502.87","118.61M","0.67%"
"12/24/2024","503.81","503.60","504.48","503.60","84.34M","0.18%"
"12/23/2024","502.91","502.21","504.19","501.08","129.45M","0.14%"
"12/20/2024","502.19","504.97","504.97","496.39","382.50M","-0.88%"
"12/19/2024","506.66","511.16","511.16","505.41","250.24M","-1.51%"
"12/18/2024","514.43","513.86","515.35","513.07","199.89M","0.15%"
"12/17/2024","513.66","514.26","514.74","512.39","303.10M","-0.42%"
"12/16/2024","515.83","516.30","516.52","514.36","231.05M","-0.12%"
"12/13/2024","516.45","518.21","519.26","515.60","191.70M","-0.53%"
"12/12/2024","519.20","520.16","520.67","518.69","166.97M","-0.14%"
"12/11/2024","519.95","517.69","520.52","517.03","244.69M","0.28%"
"12/10/2024","518.49","520.53","520.85","518.39","159.84M","-0.52%"
"12/09/2024","521.22","521.65","523.15","520.13","169.89M","0.14%"
"12/06/2024","520.47","519.73","521.57","519.18","210.71M","0.18%"
"12/05/2024","519.53","517.19","519.69","517.19","204.88M","0.40%"
"12/04/2024","517.45","516.05","518.75","515.84","177.66M","0.37%"
"12/03/2024","515.53","514.25","517.28","514.25","183.19M","0.37%"
"12/02/2024","513.61","509.69","514.44","508.63","185.14M","0.66%"
"11/29/2024","510.25","506.91","510.43","506.08","161.50M","0.58%"
"11/28/2024","507.30","506.32","508.93","506.08","121.56M","0.46%"
"11/27/2024","504.96","505.66","505.66","502.86","160.40M","-0.19%"
"11/26/2024","505.90","507.61","508.53","504.72","177.67M","-0.57%"
"11/25/2024","508.78","509.64","511.28","507.69","418.72M","0.06%"
"11/22/2024","508.47","503.96","509.20","502.36","189.50M","1.18%"
"11/21/2024","502.54","500.33","502.90","497.33","183.44M","0.41%"
"11/20/2024","500.49","501.94","504.04","499.56","166.32M","-0.02%"
"11/19/2024","500.60","503.77","505.00","495.55","188.18M","-0.45%"
"11/18/2024","502.84","502.70","503.78","500.01","172.34M","-0.06%"
"11/15/2024","503.12","505.38","505.94","502.52","185.50M","-0.77%"
"11/14/2024","507.03","502.67","507.62","502.09","218.12M","1.08%"
"11/13/2024","501.59","501.88","503.22","498.58","202.52M","-0.13%"
"11/12/2024","502.23","510.17","510.17","501.89","217.98M","-1.98%"
"11/11/2024","512.37","508.95","513.85","508.95","154.35M","1.13%"
"11/08/2024","506.63","510.51","511.07","505.41","194.70M","-0.65%"
"11/07/2024","509.92","507.24","511.94","507.24","222.58M","0.62%"
"11/06/2024","506.78","511.26","519.26","505.92","263.03M","-0.54%"
"11/05/2024","509.53","509.04","510.77","507.54","170.15M","0.06%"
"11/04/2024","509.21","510.44","512.40","509.21","181.38M","-0.33%"
"11/01/2024","510.90","505.44","512.17","505.44","172.89M","1.09%"
"10/31/2024","505.39","509.97","509.97","503.49","245.74M","-1.20%"
"10/30/2024","511.51","516.55","516.55","510.43","209.41M","-1.25%"
"10/29/2024","517.99","521.63","522.93","517.92","201.49M","-0.57%"
"10/28/2024","520.95","519.79","521.79","517.44","187.82M","0.41%"
"10/25/2024","518.81","518.55","519.77","517.14","183.23M","-0.03%"
"10/24/2024","518.98","519.10","522.51","518.98","200.46M","0.03%"
"10/23/2024","518.84","519.67","521.76","518.19","177.09M","-0.30%"
"10/22/2024","520.40","521.70","521.70","517.22","148.73M","-0.21%"
"10/21/2024","521.52","524.38","526.12","521.36","143.76M","-0.66%"
"10/18/2024","524.99","523.68","525.58","523.22","189.93M","0.21%"
"10/17/2024","523.91","519.86","525.68","519.85","194.86M","0.83%"
"10/16/2024","519.60","518.95","520.77","518.13","203.05M","-0.19%"
"10/15/2024","520.57","525.35","526.57","520.57","200.76M","-0.80%"
"10/14/2024","524.76","522.35","524.76","521.31","153.49M","0.53%"
"10/11/2024","521.98","518.90","522.49","518.02","170.64M","0.55%"
"10/10/2024","519.11","520.22","521.08","517.81","161.64M","-0.18%"
"10/09/2024","520.05","516.77","520.11","516.37","137.34M","0.66%"
"10/08/2024","516.64","518.13","518.13","514.10","161.00M","-0.55%"
"10/07/2024","519.48","519.12","520.34","516.61","157.69M","0.18%"
"10/04/2024","518.56","516.63","519.54","515.76","180.24M","0.44%"
"10/03/2024","516.29","519.94","519.99","515.26","209.24M","-0.93%"
"10/02/2024","521.14","521.62","523.00","518.66","177.82M","0.05%"
"10/01/2024","520.88","523.28","525.55","519.34","214.24M","-0.38%"
"09/30/2024","522.89","527.11","527.75","522.35","201.12M","-0.98%"
"09/27/2024","528.08","525.50","528.68","525.50","187.21M","0.47%"
"09/26/2024","525.61","521.43","526.52","521.43","209.04M","1.25%"
"09/25/2024","519.14","518.56","520.33","517.26","145.21M","-0.11%"
"09/24/2024","519.70","518.22","521.04","517.82","189.89M","0.65%"
"09/23/2024","516.32","514.49","516.73","513.28","154.31M","0.40%"
"09/20/2024","514.26","520.76","520.76","513.87","390.90M","-1.42%"
"09/19/2024","521.67","516.98","522.31","516.98","219.86M","1.38%"
"09/18/2024","514.59","517.11","517.11","514.25","189.46M","-0.50%"
"09/17/2024","517.19","516.07","519.29","516.07","191.47M","0.40%"
"09/16/2024","515.11","514.71","516.51","513.99","141.46M","-0.16%"
"09/13/2024","515.95","512.87","517.07","512.87","155.15M","0.76%"
"09/12/2024","512.08","510.70","514.53","509.63","239.93M","0.80%"
"09/11/2024","508.02","508.28","511.54","506.00","179.28M","0.01%"
"09/10/2024","507.95","510.69","512.28","507.10","173.87M","-0.54%"
"09/09/2024","510.70","507.39","511.91","507.39","139.52M","0.82%"
"09/06/2024","506.56","511.22","514.09","506.11","174.34M","-1.07%"
"09/05/2024","512.05","514.13","515.38","512.05","163.45M","-0.54%"
"09/04/2024","514.82","516.88","516.88","513.27","162.18M","-0.97%"
"09/03/2024","519.84","525.00","525.60","519.18","201.78M","-0.97%"
"09/02/2024","524.94","524.83","525.04","521.88","117.19M","-0.02%"
"08/30/2024","525.05","524.53","526.66","524.53","244.29M","0.09%"
"08/29/2024","524.57","520.79","524.75","520.79","148.18M","0.76%"
"08/28/2024","520.60","519.49","521.79","519.49","133.90M","0.33%"
"08/27/2024","518.88","518.31","519.92","517.73","162.52M","0.16%"
"08/26/2024","518.05","518.22","518.95","517.57","66.33M","-0.02%"
"08/23/2024","518.13","516.12","518.73","515.86","129.48M","0.46%"
"08/22/2024","515.74","514.24","517.28","514.24","147.80M","0.35%"
"08/21/2024","513.95","512.44","514.65","512.32","149.47M","0.33%"
"08/20/2024","512.27","514.73","515.78","512.18","126.73M","-0.45%"
"08/19/2024","514.59","511.42","515.46","510.98","155.31M","0.61%"
"08/16/2024","511.45","510.55","512.56","509.95","143.23M","0.31%"
"08/15/2024","509.88","504.85","510.50","504.36","164.68M","1.15%"
"08/14/2024","504.10","502.06","504.18","502.06","135.99M","0.49%"
"08/13/2024","501.66","499.82","501.73","497.57","130.96M","0.52%"
"08/12/2024","499.08","499.80","501.54","498.19","228.38M","-0.02%"
"08/09/2024","499.19","497.46","501.29","496.38","157.50M","0.57%"
"08/08/2024","496.37","495.13","496.88","490.02","164.38M","0.08%"
"08/07/2024","495.96","490.15","497.25","489.75","196.91M","1.54%"
"08/06/2024","488.44","489.29","491.93","484.41","250.04M","0.29%"
"08/05/2024","487.05","493.48","493.48","479.83","340.07M","-2.17%"
"08/02/2024","497.85","509.89","509.89","496.86","277.54M","-2.73%"
"08/01/2024","511.83","517.75","517.98","511.20","228.02M","-1.23%"
"07/31/2024","518.18","514.28","519.42","514.28","191.95M","0.80%"
"07/30/2024","514.08","512.66","515.78","512.19","163.08M","0.45%"
"07/29/2024","511.79","513.68","515.65","511.48","151.50M","-0.20%"
"07/26/2024","512.83","508.24","513.36","508.23","149.44M","0.83%"
"07/25/2024","508.63","510.23","510.23","503.78","217.16M","-0.72%"
"07/24/2024","512.30","513.65","513.94","510.76","165.13M","-0.61%"
"07/23/2024","515.47","515.24","518.03","513.58","206.46M","0.13%"
"07/22/2024","514.79","511.23","516.76","511.23","192.64M","0.93%"
"07/19/2024","510.03","513.05","513.05","509.62","163.07M","-0.77%"
"07/18/2024","514.01","515.86","518.28","514.01","158.94M","-0.16%"
"07/17/2024","514.83","516.32","516.43","512.79","167.89M","-0.48%"
"07/16/2024","517.30","517.78","517.78","515.40","143.54M","-0.28%"
"07/15/2024","518.73","522.87","524.08","518.64","134.33M","-1.02%"
"07/12/2024","524.08","519.75","524.75","519.75","142.88M","0.88%"
"07/11/2024","519.51","517.36","520.62","516.86","157.80M","0.60%"
"07/10/2024","516.42","511.87","516.53","511.87","175.81M","0.91%"
"07/09/2024","511.76","515.60","516.47","511.13","199.25M","-0.90%"
"07/08/2024","516.43","516.57","519.80","515.56","164.97M","-0.03%"
"07/05/2024","516.60","518.29","520.30","515.18","183.18M","-0.18%"
"07/04/2024","517.54","514.87","518.32","514.87","127.22M","0.56%"
"07/03/2024","514.67","512.15","515.54","512.15","207.72M","0.74%"
"07/02/2024","510.91","512.11","512.11","508.08","169.96M","-0.42%"
"07/01/2024","513.04","513.82","517.14","512.68","162.11M","0.32%"
"06/28/2024","511.42","513.54","514.84","510.73","178.31M","-0.23%"
"06/27/2024","512.59","514.47","515.46","512.53","163.60M","-0.43%"
"06/26/2024","514.81","518.78","520.89","513.47","201.04M","-0.56%"
"06/25/2024","517.70","518.37","518.37","516.18","175.43M","-0.23%"
"06/24/2024","518.87","514.47","519.97","514.37","184.76M","0.73%"
"06/21/2024","515.11","518.23","518.51","513.94","420.26M","-0.73%"
"06/20/2024","518.91","514.61","518.91","514.47","209.72M","0.93%"
"06/19/2024","514.13","515.23","515.61","513.86","156.12M","-0.17%"
"06/18/2024","515.01","513.05","515.26","512.31","168.60M","0.69%"
"06/17/2024","511.49","511.98","514.63","508.78","185.11M","0.09%"
"06/14/2024","511.05","517.06","517.06","509.59","236.41M","-0.97%"
"06/13/2024","516.04","521.96","521.96","515.45","214.98M","-1.31%"
"06/12/2024","522.89","518.00","523.84","518.00","236.27M","1.08%"
"06/11/2024","517.29","522.35","523.46","515.65","225.47M","-0.93%"
"06/10/2024","522.16","522.35","522.35","518.94","170.98M","-0.27%"
"06/07/2024","523.55","525.25","525.59","520.67","171.41M","-0.22%"
"06/06/2024","524.68","523.10","525.55","523.10","185.23M","0.66%"
"06/05/2024","521.23","518.09","522.43","518.09","190.46M","0.81%"
"06/04/2024","517.05","519.35","519.35","515.14","246.54M","-0.54%"
"06/03/2024","519.85","520.31","522.95","519.13","256.10M","0.32%"
"05/31/2024","518.17","516.59","518.90","516.04","560.88M","0.32%"
"05/30/2024","516.50","513.00","516.84","512.46","284.25M","0.59%"
"05/29/2024","513.45","518.15","518.18","512.99","206.96M","-1.08%"
"05/28/2024","519.08","522.22","523.17","518.17","210.01M","-0.60%"
"05/27/2024","522.21","520.45","522.21","519.95","65.87M","0.32%"
"05/24/2024","520.57","520.04","521.05","517.11","181.26M","-0.19%"
"05/23/2024","521.56","521.38","523.73","520.74","240.46M","0.07%"
"05/22/2024","521.18","522.43","522.43","520.12","234.18M","-0.34%"
"05/21/2024","522.95","523.08","523.08","520.71","204.15M","-0.18%"
"05/20/2024","523.89","522.65","524.25","522.65","178.23M","0.18%"
"05/17/2024","522.94","522.51","523.32","521.17","232.12M","-0.13%"
"05/16/2024","523.62","524.93","525.33","523.18","213.28M","-0.21%"
"05/15/2024","524.71","522.35","525.20","522.35","262.13M","0.59%"
"05/14/2024","521.65","521.16","521.86","519.64","254.05M","0.15%"
"05/13/2024","520.86","521.02","521.33","519.84","204.68M","0.02%"
"05/10/2024","520.76","517.90","521.51","517.90","187.64M","0.77%"
"05/09/2024","516.77","515.01","517.22","514.88","211.51M","0.19%"
"05/08/2024","515.77","514.31","516.40","514.17","226.33M","0.34%"
"05/07/2024","514.02","509.81","514.15","509.81","244.59M","1.14%"
"05/06/2024","508.22","506.00","509.09","506.00","77.07M","0.53%"
"05/03/2024","505.52","503.20","508.20","503.20","","0.46%"
"05/02/2024","503.21","504.14","504.75","502.78","226.93M","-0.22%"
"05/01/2024","504.31","504.38","504.80","504.07","185.55M","-0.11%"
"04/30/2024","504.89","508.07","508.61","504.64","219.37M","-0.68%"
"04/29/2024","508.34","508.72","510.28","508.34","186.18M","0.07%"
"04/26/2024","507.98","503.53","508.92","503.53","208.94M","1.11%"
"04/25/2024","502.38","505.67","505.84","499.28","260.02M","-0.64%"
"04/24/2024","505.61","507.99","509.03","505.09","271.62M","-0.43%"
"04/23/2024","507.79","502.89","507.98","502.89","266.37M","1.09%"
"04/22/2024","502.31","499.30","503.15","499.30","228.49M","0.60%"
"04/19/2024","499.29","498.28","499.75","495.31","228.74M","-0.08%"
"04/18/2024","499.70","499.07","500.36","497.14","244.67M","0.24%"
"04/17/2024","498.52","498.46","502.34","497.40","197.60M","0.06%"
"04/16/2024","498.21","503.51","503.51","496.53","223.49M","-1.53%"
"04/15/2024","505.93","505.48","510.04","505.16","182.23M","0.13%"
"04/12/2024","505.25","506.39","510.64","503.98","198.44M","0.14%"
"04/11/2024","504.55","505.91","507.52","502.01","245.23M","-0.40%"
"04/10/2024","506.59","507.30","509.62","502.67","249.74M","0.15%"
"04/09/2024","505.82","508.61","509.09","504.99","206.07M","-0.61%"
"04/08/2024","508.93","506.20","509.71","505.90","179.30M","0.47%"
"04/05/2024","506.55","508.63","508.63","504.22","215.91M","-0.84%"
"04/04/2024","510.84","510.09","511.73","509.56","228.05M","0.16%"
"04/03/2024","510.02","508.65","510.23","507.67","238.24M","0.29%"
"04/02/2024","508.57","513.36","515.77","508.20","241.32M","-0.80%"
"03/29/2024","512.66","512.66","512.66","512.66","","0.00%"
"03/28/2024","512.67","512.04","513.49","512.04","218.24M","0.18%"
"03/27/2024","511.75","510.79","512.45","510.38","235.20M","0.13%"
"03/26/2024","511.09","509.46","511.37","508.76","245.12M","0.24%"
"03/25/2024","509.86","509.45","510.46","507.70","217.98M","0.04%"
"03/22/2024","509.64","508.89","510.46","508.23","241.42M","-0.03%"
"03/21/2024","509.77","507.63","510.25","507.14","285.49M","0.90%"
"03/20/2024","505.21","504.31","505.68","503.32","238.74M","0.00%"
"03/19/2024","505.23","503.40","505.29","503.02","224.04M","0.26%"
"03/18/2024","503.94","505.32","505.58","503.42","227.16M","-0.17%"
"03/15/2024","504.80","506.14","508.25","504.78","613.75M","-0.32%"
"03/14/2024","506.40","507.46","509.31","505.34","268.14M","-0.18%"
"03/13/2024","507.33","506.79","508.34","506.06","297.93M","0.16%"
"03/12/2024","506.52","502.48","506.91","502.22","284.55M","1.00%"
